store_id,uptime_last_week,downtime_last_week
818528518255881937,117:55:40,09:08:12
821262404309567940,129:04:50,00:22:39
822111548816704100,44:26:29,20:59:14
824157245993796852,87:14:42,25:57:32
825907233913169464,14:07:41,13:51:25
828467838130839333,76:28:22,49:10:45
833633818966117127,128:51:47,00:00:39
834923670257554083,98:05:49,08:01:33
837348977575209324,44:20:45,00:00:00
837699569013981799,85:51:08,21:05:55
838810862415746778,128:58:22,09:22:29
839144469176251138,65:05:33,17:19:23
843685777981830247,76:30:02,49:13:04
846113665999561099,129:05:05,00:58:27
849182365049976050,106:36:52,00:00:00
849398791613243870,108:48:46,10:20:07
854224455102739323,33:03:50,78:17:57
856719627986319071,98:58:18,18:04:24
856736205609036817,00:39:23,00:00:00
861237731467220595,03:06:25,52:22:41
863120845630154212,01:13:33,105:55:46
868428229406009376,106:40:21,01:00:02
869150141145156759,106:43:39,00:00:00
869849941028792387,30:33:51,20:30:44
873673800041401959,18:15:25,53:56:55
874801976302144611,11:48:09,37:19:13
875757744066127700,19:51:49,25:49:38
878139025814445971,85:44:18,30:17:53
879096999646055757,06:59:52,103:31:13
881972566831413121,07:02:06,103:38:25
883091435307005618,106:42:53,00:00:00
885102001589721222,128:45:59,01:08:00
897815881964391782,15:58:30,111:31:50
900977009264996690,08:00:13,48:30:01
912481274307064919,23:57:13,21:28:18
916184387448422638,24:28:55,34:29:48
918312552680666127,120:10:23,00:05:02
924494512866798795,110:23:48,00:57:16
925089065393640594,37:55:07,09:35:29
927168755049737685,97:00:16,31:03:33
927353120992671563,99:49:12,12:00:10
927680364298232157,99:53:22,04:00:00
929942020613229295,58:31:52,00:00:00
932490204728169468,31:19:17,17:07:31
933257307636497177,26:37:13,41:19:32
941959437626727362,106:39:43,00:00:00
954363739409082561,128:58:50,00:31:11
955537157727089805,106:32:48,12:03:42
955733133131138232,28:54:58,66:46:06
956530734246389631,63:34:04,19:36:48
962875980890827277,105:54:07,02:09:11
965669707773978228,50:36:43,00:00:00
967095620722181712,105:42:13,21:59:23
967243366292148356,33:13:22,44:10:15
967769613825971361,14:00:37,95:24:36
967792621601894387,13:28:11,31:43:31
968932669103961581,128:49:55,00:00:00
969131884598563356,98:08:07,17:06:54
981104245064132498,56:06:25,48:59:23
982142600644061477,14:01:58,112:12:20
982303482866589074,33:01:52,16:54:00
986005178164070807,39:26:27,08:43:11
990094220379435650,24:40:26,82:56:59
994771519055946466,32:33:48,01:10:03
996443062234439430,32:01:01,27:57:16
